,lidar_id,Timestart,Timeend,lidar_path,Datetime,Epoch,camera_path,Stream Type_Accel,F#_Accel,HW Timestamp (ms)_Accel,Host Timestamp(ms)_Accel,3DOF_x_Accel,3DOF_y_Accel,3DOF_z_Accel,Stream Type_Gyro,F#_Gyro,HW Timestamp (ms)_Gyro,Host Timestamp(ms)_Gyro,3DOF_x_Gyro,3DOF_y_Gyro,3DOF_z_Gyro
23,2455,2024-09-09 18:07:38.544159062,2024-09-09 18:07:38.644068601,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002455.pcd,2024-09-09 18:07:38.594113831,1725905258592.3115,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258592.31152343750000.png,Accel,1678,49334111,1725905258594,0.118,9.257,2.942,Gyro,3307,49333327,1725905258594,-0.007,0.004,-0.001
24,2456,2024-09-09 18:07:38.644173884,2024-09-09 18:07:38.744058989,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002456.pcd,2024-09-09 18:07:38.694116436,1725905258692.3508,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258692.35083007812500.png,Accel,1688,49433259,1725905258693,0.127,9.257,2.952,Gyro,3326,49428507,1725905258688,-0.005,0.001,-0.001
25,2457,2024-09-09 18:07:38.744158941,2024-09-09 18:07:38.844038237,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002457.pcd,2024-09-09 18:07:38.794098589,1725905258792.391,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258792.39111328125000.png,Accel,1698,49532410,1725905258793,0.127,9.257,2.962,Gyro,3346,49528697,1725905258789,-0.003,-0.001,-0.001
26,2458,2024-09-09 18:07:38.844132302,2024-09-09 18:07:38.944013533,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002458.pcd,2024-09-09 18:07:38.894072917,1725905258892.4304,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258892.43041992187500.png,Accel,1708,49631565,1725905258892,0.118,9.257,2.932,Gyro,3366,49628886,1725905258889,-0.005,0.002,-0.003
27,2459,2024-09-09 18:07:38.944104884,2024-09-09 18:07:39.043973361,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002459.pcd,2024-09-09 18:07:38.994039122,1725905258992.4707,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905258992.47070312500000.png,Accel,1718,49730722,1725905258991,0.118,9.238,2.932,Gyro,3386,49729075,1725905258989,-0.001,0.004,-0.001
28,2460,2024-09-09 18:07:39.044074344,2024-09-09 18:07:39.143967247,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002460.pcd,2024-09-09 18:07:39.094020795,1725905259092.5098,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259092.50976562500000.png,Accel,1728,49829879,1725905259090,0.118,9.218,2.932,Gyro,3406,49829265,1725905259089,0.001,-0.004,0.001
29,2461,2024-09-09 18:07:39.144068233,2024-09-09 18:07:39.243939022,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002461.pcd,2024-09-09 18:07:39.194003627,1725905259192.5496,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259192.54956054687500.png,Accel,1738,49929037,1725905259189,0.137,9.199,2.932,Gyro,3426,49929454,1725905259189,-0.004,0.000,0.003
30,2462,2024-09-09 18:07:39.244046033,2024-09-09 18:07:39.343909566,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002462.pcd,2024-09-09 18:07:39.293977799,1725905259292.5886,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259292.58862304687500.png,Accel,1748,50028204,1725905259288,0.108,9.238,2.942,Gyro,3445,50024634,1725905259285,-0.009,-0.003,-0.003
31,2463,2024-09-09 18:07:39.344007790,2024-09-09 18:07:39.443869930,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002463.pcd,2024-09-09 18:07:39.393938860,1725905259392.6282,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259392.62817382812500.png,Accel,1758,50127363,1725905259388,0.127,9.228,2.932,Gyro,3465,50124824,1725905259385,-0.004,0.002,-0.003
32,2464,2024-09-09 18:07:39.443957803,2024-09-09 18:07:39.543799571,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002464.pcd,2024-09-09 18:07:39.493878687,1725905259492.6667,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259492.66674804687500.png,Accel,1768,50226530,1725905259486,0.127,9.228,2.932,Gyro,3485,50225013,1725905259485,0.000,0.003,-0.002
33,2465,2024-09-09 18:07:39.543904374,2024-09-09 18:07:39.643739802,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002465.pcd,2024-09-09 18:07:39.593822088,1725905259592.7104,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259592.71044921875000.png,Accel,1778,50325694,1725905259586,0.137,9.257,2.922,Gyro,3505,50325203,1725905259585,0.006,0.002,-0.004
34,2466,2024-09-09 18:07:39.643836492,2024-09-09 18:07:39.743687420,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002466.pcd,2024-09-09 18:07:39.693761956,1725905259692.753,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259692.75292968750000.png,Accel,1788,50424860,1725905259685,0.137,9.248,2.932,Gyro,3524,50420383,1725905259681,0.002,-0.002,0.003
35,2467,2024-09-09 18:07:39.743778864,2024-09-09 18:07:39.843645880,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002467.pcd,2024-09-09 18:07:39.793712372,1725905259792.7966,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259792.79663085937500.png,Accel,1798,50524021,1725905259784,0.127,9.248,2.952,Gyro,3544,50520572,1725905259781,-0.009,-0.004,0.000
36,2468,2024-09-09 18:07:39.843746262,2024-09-09 18:07:39.943646362,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002468.pcd,2024-09-09 18:07:39.893696312,1725905259892.839,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259892.83911132812500.png,Accel,1809,50633099,1725905259893,0.127,9.257,2.922,Gyro,3566,50630781,1725905259891,-0.003,0.003,-0.003
37,2469,2024-09-09 18:07:39.943749609,2024-09-09 18:07:40.043630276,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002469.pcd,2024-09-09 18:07:39.993689942,1725905259992.8828,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905259992.88281250000000.png,Accel,1819,50732259,1725905259992,0.118,9.218,2.932,Gyro,3586,50730970,1725905259991,-0.007,0.001,-0.004
38,2470,2024-09-09 18:07:40.043738261,2024-09-09 18:07:40.143642198,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002470.pcd,2024-09-09 18:07:40.093690229,1725905260092.9255,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260092.92553710937500.png,Accel,1829,50831420,1725905260091,0.127,9.228,2.942,Gyro,3606,50831160,1725905260091,0.003,0.000,-0.004
39,2471,2024-09-09 18:07:40.143750050,2024-09-09 18:07:40.243690205,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002471.pcd,2024-09-09 18:07:40.193720127,1725905260192.9692,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260192.96923828125000.png,Accel,1839,50930577,1725905260190,0.127,9.248,2.922,Gyro,3625,50926340,1725905260186,-0.007,-0.001,0.001
40,2472,2024-09-09 18:07:40.243791898,2024-09-09 18:07:40.343715919,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002472.pcd,2024-09-09 18:07:40.293753908,1725905260293.0117,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260293.01171875000000.png,Accel,1849,51029730,1725905260290,0.127,9.238,2.952,Gyro,3645,51026529,1725905260287,0.001,0.001,0.000
41,2473,2024-09-09 18:07:40.343814702,2024-09-09 18:07:40.443811296,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002473.pcd,2024-09-09 18:07:40.393812999,1725905260393.0554,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260393.05541992187500.png,Accel,1859,51128883,1725905260389,0.118,9.228,2.913,Gyro,3665,51126719,1725905260387,-0.007,0.002,0.001
42,2474,2024-09-09 18:07:40.443899079,2024-09-09 18:07:40.543881999,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002474.pcd,2024-09-09 18:07:40.493890539,1725905260493.063,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260493.06298828125000.png,Accel,1869,51228034,1725905260488,0.127,9.228,2.922,Gyro,3685,51226908,1725905260487,-0.005,-0.001,0.000
43,2475,2024-09-09 18:07:40.543986256,2024-09-09 18:07:40.643942171,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002475.pcd,2024-09-09 18:07:40.593964213,1725905260593.3423,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260593.34228515625000.png,Accel,1879,51327195,1725905260587,0.118,9.257,2.922,Gyro,3705,51327098,1725905260587,-0.006,0.003,0.000
44,2476,2024-09-09 18:07:40.644032342,2024-09-09 18:07:40.743956364,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002476.pcd,2024-09-09 18:07:40.693994353,1725905260693.625,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260693.62500000000000.png,Accel,1889,51426356,1725905260686,0.118,9.228,2.942,Gyro,3724,51422278,1725905260682,-0.002,-0.001,-0.006
45,2477,2024-09-09 18:07:40.744059092,2024-09-09 18:07:40.843957192,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002477.pcd,2024-09-09 18:07:40.794008142,1725905260793.9133,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260793.91333007812500.png,Accel,1899,51525513,1725905260785,0.127,9.228,2.942,Gyro,3744,51522467,1725905260783,-0.003,0.001,-0.001
46,2478,2024-09-09 18:07:40.844063253,2024-09-09 18:07:40.943993249,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002478.pcd,2024-09-09 18:07:40.894028251,1725905260860.7742,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260860.77416992187500.png,Accel,1909,51624672,1725905260884,0.118,9.257,2.932,Gyro,3764,51622657,1725905260882,-0.004,0.004,0.001
47,2479,2024-09-09 18:07:40.944087305,2024-09-09 18:07:41.044020997,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002479.pcd,2024-09-09 18:07:40.994054151,1725905260961.069,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905260961.06909179687500.png,Accel,1920,51733757,1725905260994,0.127,9.238,2.942,Gyro,3786,51732865,1725905260993,0.000,0.002,-0.001
48,2480,2024-09-09 18:07:41.044120804,2024-09-09 18:07:41.144057774,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002480.pcd,2024-09-09 18:07:41.094089289,1725905261061.3694,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261061.36938476562500.png,Accel,1930,51832926,1725905261093,0.118,9.238,2.942,Gyro,3806,51833055,1725905261093,-0.003,0.005,-0.004
49,2481,2024-09-09 18:07:41.144159163,2024-09-09 18:07:41.244123353,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002481.pcd,2024-09-09 18:07:41.194141258,1725905261161.6733,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261161.67333984375000.png,Accel,1940,51932084,1725905261192,0.127,9.257,2.932,Gyro,3825,51928235,1725905261188,-0.006,0.000,0.003
50,2482,2024-09-09 18:07:41.244219167,2024-09-09 18:07:41.344164513,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002482.pcd,2024-09-09 18:07:41.294191840,1725905261261.9827,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261261.98266601562500.png,Accel,1950,52031251,1725905261291,0.108,9.238,2.942,Gyro,3845,52028424,1725905261288,0.010,-0.002,0.001
51,2483,2024-09-09 18:07:41.344270737,2024-09-09 18:07:41.444187918,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002483.pcd,2024-09-09 18:07:41.394229327,1725905261362.2957,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261362.29565429687500.png,Accel,1960,52130407,1725905261390,0.137,9.238,2.932,Gyro,3865,52128614,1725905261389,0.003,-0.001,-0.001
52,2484,2024-09-09 18:07:41.444278017,2024-09-09 18:07:41.544210583,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002484.pcd,2024-09-09 18:07:41.494244300,1725905261462.6143,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261462.61425781250000.png,Accel,1970,52229561,1725905261490,0.127,9.248,2.913,Gyro,3885,52228803,1725905261489,0.004,0.002,-0.005
53,2485,2024-09-09 18:07:41.544301789,2024-09-09 18:07:41.644222251,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002485.pcd,2024-09-09 18:07:41.594262020,1725905261562.778,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261562.77807617187500.png,Accel,1980,52328721,1725905261589,0.108,9.218,2.932,Gyro,3905,52328993,1725905261589,-0.011,0.001,-0.006
54,2486,2024-09-09 18:07:41.644315946,2024-09-09 18:07:41.744266467,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002486.pcd,2024-09-09 18:07:41.694291206,1725905261662.7976,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261662.79760742187500.png,Accel,1990,52427882,1725905261688,0.118,9.218,2.952,Gyro,3924,52424173,1725905261684,-0.003,0.005,-0.001
55,2487,2024-09-09 18:07:41.744366235,2024-09-09 18:07:41.844278446,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002487.pcd,2024-09-09 18:07:41.794322340,1725905261762.8154,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261762.81542968750000.png,Accel,2000,52527044,1725905261787,0.127,9.228,2.942,Gyro,3944,52524363,1725905261784,-0.010,0.004,-0.002
56,2488,2024-09-09 18:07:41.844377226,2024-09-09 18:07:41.944277091,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002488.pcd,2024-09-09 18:07:41.894327158,1725905261862.8337,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261862.83374023437500.png,Accel,2010,52626201,1725905261886,0.127,9.238,2.932,Gyro,3964,52624552,1725905261885,0.001,-0.001,-0.001
57,2489,2024-09-09 18:07:41.944375694,2024-09-09 18:07:42.044288129,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002489.pcd,2024-09-09 18:07:41.994331911,1725905261962.8503,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905261962.85034179687500.png,Accel,2020,52725365,1725905261985,0.118,9.238,2.932,Gyro,3984,52724742,1725905261984,0.005,0.004,-0.001
58,2490,2024-09-09 18:07:42.044388739,2024-09-09 18:07:42.144273118,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002490.pcd,2024-09-09 18:07:42.094330928,1725905262062.8674,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905262062.86743164062500.png,Accel,2031,52834445,1725905262094,0.118,9.218,2.932,Gyro,4005,52829941,1725905262090,-0.002,0.002,0.001
59,2491,2024-09-09 18:07:42.144369163,2024-09-09 18:07:42.244257720,/home/khanj/Dev/PerceptionTools/DriveData/roof/pointcloud/Data/0000002491.pcd,2024-09-09 18:07:42.194313441,1725905262162.8828,/home/khanj/Dev/PerceptionTools/DriveData/roof/Camera/_Color_1725905262162.88281250000000.png,Accel,2041,52933613,1725905262194,0.127,9.257,2.932,Gyro,4025,52930130,1725905262190,0.000,0.006,-0.002
